=== SIMPLE_TEST BS=VEC_LEN/NT ===
T 15: 0.001046000000000 s
T 16: 0.001022000000000 s
T 17: 0.001040000000000 s
T 18: 0.001724000000000 s
T 19: 0.001715000000000 s

=== PARTITIONED_FOR BS=VEC_LEN/NT ===
success
T  0: 0.002115000000000 s
T  1: 0.002115000000000 s
T  2: 0.002118000000000 s
T  3: 0.002119000000000 s
T  4: 0.002122000000000 s
T  5: 0.002117000000000 s
T  6: 0.002117000000000 s
T  7: 0.002120000000000 s
T  8: 0.003172000000000 s
T  9: 0.002116000000000 s
T 10: 0.002123000000000 s
T 11: 0.002157000000000 s
T 12: 0.002874000000000 s
T 13: 0.002118000000000 s
T 14: 0.003183000000000 s
T 15: 0.002116000000000 s
T 16: 0.002138000000000 s
T 17: 0.002146000000000 s
T 18: 0.003003000000000 s
T 19: 0.003198000000000 s

=== PARTITIONED_FOR BS=1 ===
error
T  0: 0.000000000000000 s
T  1: 0.000000000000000 s
T  2: 0.000001000000000 s
T  3: 0.000000000000000 s
T  4: 0.000000000000000 s
T  5: 0.000000000000000 s
T  6: 0.000000000000000 s
T  7: 0.000000000000000 s
T  8: 0.000000000000000 s
T  9: 0.000001000000000 s
T 10: 0.000000000000000 s
T 11: 0.000000000000000 s
T 12: 0.000000000000000 s
T 13: 0.000000000000000 s
T 14: 0.000000000000000 s
T 15: 0.000000000000000 s
T 16: 0.000000000000000 s
T 17: 0.000000000000000 s
T 18: 0.000001000000000 s
T 19: 0.000000000000000 s

=== BLOCK_TRAVERSAL_FOR BS=VEC_LEN/NT ===
success
T  0: 0.002124000000000 s
T  1: 0.002126000000000 s
T  2: 0.002121000000000 s
T  3: 0.002124000000000 s
T  4: 0.002123000000000 s
T  5: 0.002122000000000 s
T  6: 0.002125000000000 s
T  7: 0.002126000000000 s
T  8: 0.002122000000000 s
T  9: 0.002123000000000 s
T 10: 0.002124000000000 s
T 11: 0.002128000000000 s
T 12: 0.002122000000000 s
T 13: 0.002123000000000 s
T 14: 0.003103000000000 s
T 15: 0.002139000000000 s
T 16: 0.002147000000000 s
T 17: 0.002140000000000 s
T 18: 0.002951000000000 s
T 19: 0.002967000000000 s

=== BLOCK_TRAVERSAL_FOR BS=1 ===
success
T  0: 0.001033000000000 s
T  1: 0.001035000000000 s
T  2: 0.001033000000000 s
T  3: 0.001033000000000 s
T  4: 0.001033000000000 s
T  5: 0.001033000000000 s
T  6: 0.001033000000000 s
T  7: 0.001031000000000 s
T  8: 0.001033000000000 s
T  9: 0.001043000000000 s
T 10: 0.001043000000000 s
T 11: 0.001038000000000 s
T 12: 0.001044000000000 s
T 13: 0.001032000000000 s
T 14: 0.001057000000000 s
T 15: 0.001059000000000 s
T 16: 0.001047000000000 s
T 17: 0.001033000000000 s
T 18: 0.001723000000000 s
T 19: 0.001722000000000 s

